firm,title,applications_open,applications_close,link
DAC Beachcroft,Training Contract,01/11/2025,31/01/2026,https://www.dacbeachcroft.com/en/Work-with-us/Early-Talent
Moore Barlow,Vacation Scheme,03/11/2025,29/03/2026,https://www.moorebarlow.com/careers/graduate-recruitment/
Moore Barlow,Training Contract,03/11/2025,29/03/2026,https://www.moorebarlow.com/careers/graduate-recruitment/
Winckworth Sherwood,Training Contract,01/12/2025,28/02/2026,https://wslaw.co.uk/join-us/trainee-hub/the-application-process/
A&O Shearman,LawTech & Operations Programme,15/12/2025,02/02/2026,https://earlycareersuk.aoshearman.com/lawtech-programme
A&O Shearman,First Year Programme,05/01/2026,09/02/2026,https://earlycareersuk.aoshearman.com/work-experience
A&O Shearman,Black Student Lawyer Programme,05/01/2026,02/03/2026,https://earlycareersuk.aoshearman.com/opportunities/black-student-lawyer-programme
Russell-Cooke,Training Contract,07/11/2025,06/02/2026,https://www.russell-cooke.co.uk/careers/graduate-recruitment/our-training-contract
Russell-Cooke,Vacation scheme 1,07/11/2025,06/02/2026,https://www.russell-cooke.co.uk/careers/graduate-recruitment/our-vacation-scheme
Russell-Cooke,Vacation Scheme 2,07/11/2025,06/02/2026,https://www.russell-cooke.co.uk/careers/graduate-recruitment/our-vacation-scheme
Bates Wells,Inside our Corporate and Commercial practice,01/10/2025,20/01/2026,https://us06web.zoom.us/meeting/register/ZyiHpCtsTHiWr8NKMcC5tQ
Bates Wells,Training contract,05/01/2026,03/04/2026,https://bateswells.co.uk/careers/training-with-us/
Bates Wells,Inside our Charity Law Practice,01/10/2025,04/02/2026,https://us06web.zoom.us/meeting/register/0_iBId9wRHOx49mrtwLs1w
Fried Frank,Training Contract,01/12/2025,22/05/2026,http://www.friedfrank.com
K&L Gates,Legal Work Placement Scheme 2026,01/11/2025,31/01/2026,https://www.klgates.com/faqs-for-law-students-and-graduates
K&L Gates,Training Contract 2028,01/11/2025,31/07/2026,https://www.klgates.com/faqs-for-law-students-and-graduates
DLA Piper,Summer Internship – Dublin,17/09/2025,23/01/2026,https://careers.dlapiper.com/early-careers/
